step,branch,A,B,coordinate,R_A,R_D,T,seen_count_after,is_reuse,exp_next,quotient,remainder
0,exp,5,3,"(1, 6, 2)",1,6,2,1,False,15,0,5
0,div,5,7,"(5, 2, 2)",5,2,2,1,False,15,0,5
1,exp,15,3,"(3, 12, 12)",3,12,12,1,False,45,2,1
1,div,15,7,"(7, 8, 8)",7,8,8,1,False,45,2,1
2,exp,45,3,"(1, 46, 42)",1,46,42,1,False,135,6,3
2,div,45,7,"(5, 42, 38)",5,42,38,1,False,135,6,3
3,exp,135,3,"(3, 132, 124)",3,132,124,1,False,149,19,2
3,div,135,7,"(7, 128, 128)",7,128,128,1,False,149,19,2
4,exp,149,3,"(1, 150, 110)",1,150,110,1,False,191,21,2
4,div,149,7,"(5, 146, 114)",5,146,114,1,False,191,21,2
5,exp,191,3,"(3, 188, 68)",3,188,68,1,False,61,27,2
5,div,191,7,"(7, 184, 72)",7,184,72,1,False,61,27,2
6,exp,61,3,"(1, 62, 58)",1,62,58,1,False,183,8,5
6,div,61,7,"(5, 58, 54)",5,58,54,1,False,183,8,5
7,exp,183,3,"(3, 180, 76)",3,180,76,1,False,37,26,1
7,div,183,7,"(7, 176, 80)",7,176,80,1,False,37,26,1
8,exp,37,3,"(1, 38, 34)",1,38,34,1,False,111,5,2
8,div,37,7,"(5, 34, 30)",5,34,30,1,False,111,5,2
9,exp,111,3,"(3, 108, 108)",3,108,108,1,False,77,15,6
9,div,111,7,"(7, 104, 104)",7,104,104,1,False,77,15,6
10,exp,77,3,"(1, 78, 74)",1,78,74,1,False,231,11,0
10,div,77,7,"(5, 74, 70)",5,74,70,1,False,231,11,0
11,exp,231,3,"(3, 228, 28)",3,228,28,1,False,181,33,0
11,div,231,7,"(7, 224, 32)",7,224,32,1,False,181,33,0
12,exp,181,3,"(1, 182, 78)",1,182,78,1,False,31,25,6
12,div,181,7,"(5, 178, 82)",5,178,82,1,False,31,25,6
13,exp,31,3,"(3, 28, 28)",3,28,28,1,False,93,4,3
13,div,31,7,"(7, 24, 24)",7,24,24,1,False,93,4,3
14,exp,93,3,"(1, 94, 90)",1,94,90,1,False,23,13,2
14,div,93,7,"(5, 90, 86)",5,90,86,1,False,23,13,2
15,exp,23,3,"(3, 20, 20)",3,20,20,1,False,69,3,2
15,div,23,7,"(7, 16, 16)",7,16,16,1,False,69,3,2
16,exp,69,3,"(1, 70, 66)",1,70,66,1,False,207,9,6
16,div,69,7,"(5, 66, 62)",5,66,62,1,False,207,9,6
17,exp,207,3,"(3, 204, 52)",3,204,52,1,False,109,29,4
17,div,207,7,"(7, 200, 56)",7,200,56,1,False,109,29,4
18,exp,109,3,"(1, 110, 106)",1,110,106,1,False,71,15,4
18,div,109,7,"(5, 106, 102)",5,106,102,1,False,71,15,4
19,exp,71,3,"(3, 68, 68)",3,68,68,1,False,213,10,1
19,div,71,7,"(7, 64, 64)",7,64,64,1,False,213,10,1
20,exp,213,3,"(1, 214, 46)",1,214,46,1,False,127,30,3
20,div,213,7,"(5, 210, 50)",5,210,50,1,False,127,30,3
21,exp,127,3,"(3, 124, 124)",3,124,124,1,False,125,18,1
21,div,127,7,"(7, 120, 120)",7,120,120,1,False,125,18,1
22,exp,125,3,"(1, 126, 122)",1,126,122,1,False,119,17,6
22,div,125,7,"(5, 122, 118)",5,122,118,1,False,119,17,6
23,exp,119,3,"(3, 116, 116)",3,116,116,1,False,101,17,0
23,div,119,7,"(7, 112, 112)",7,112,112,1,False,101,17,0
24,exp,101,3,"(1, 102, 98)",1,102,98,1,False,47,14,3
24,div,101,7,"(5, 98, 94)",5,98,94,1,False,47,14,3
25,exp,47,3,"(3, 44, 44)",3,44,44,1,False,141,6,5
25,div,47,7,"(7, 40, 40)",7,40,40,1,False,141,6,5
26,exp,141,3,"(1, 142, 118)",1,142,118,1,False,167,20,1
26,div,141,7,"(5, 138, 122)",5,138,122,1,False,167,20,1
27,exp,167,3,"(3, 164, 92)",3,164,92,1,False,245,23,6
27,div,167,7,"(7, 160, 96)",7,160,96,1,False,245,23,6
28,exp,245,3,"(1, 246, 14)",1,246,14,1,False,223,35,0
28,div,245,7,"(5, 242, 18)",5,242,18,1,False,223,35,0
29,exp,223,3,"(3, 220, 36)",3,220,36,1,False,157,31,6
29,div,223,7,"(7, 216, 40)",7,216,40,1,False,157,31,6
30,exp,157,3,"(1, 158, 102)",1,158,102,1,False,215,22,3
30,div,157,7,"(5, 154, 106)",5,154,106,1,False,215,22,3
31,exp,215,3,"(3, 212, 44)",3,212,44,1,False,133,30,5
31,div,215,7,"(7, 208, 48)",7,208,48,1,False,133,30,5
