operation,a,b,cpu_y,ifa_y,cpu_t,ifa_t,cpu_eq,ifa_eq,cpu_gt,ifa_gt,cpu_lt,ifa_lt,ifa_ra,ifa_rd,ifa_r0,ifa_valid,ifa_exception,ifa_exception_code,ifa_state,ifa_state_code,scalar_match,flag_match,passed
PAPO,2,6,8,8,0,0,0,0,0,0,0,0,2,4,249,1,0,0,0,0,True,True,True
PAPO,13,7,20,20,0,0,0,0,0,0,0,0,5,10,240,1,0,0,0,0,True,True,True
YO,12,4,8,8,0,0,0,0,0,0,0,0,4,8,243,1,0,0,0,0,True,True,True
YO,4,12,248,248,1,1,0,0,0,0,0,0,4,8,243,1,0,0,0,0,True,True,True
DAGBA,7,5,35,35,0,0,0,0,0,0,0,0,5,2,248,1,0,0,0,0,True,True,True
DAGBA,20,20,144,144,1,1,0,0,0,0,0,0,20,0,235,1,0,0,0,0,True,True,True
PIN,13,7,1,1,6,6,0,0,0,0,0,0,5,10,240,1,0,0,0,0,True,True,True
PIN,12,4,3,3,0,0,0,0,0,0,0,0,4,8,243,1,0,0,0,0,True,True,True
KU,13,7,6,6,1,1,0,0,0,0,0,0,5,10,240,1,0,0,0,0,True,True,True
KU,12,5,2,2,2,2,0,0,0,0,0,0,4,9,242,1,0,0,0,0,True,True,True
GBE,2,7,128,128,0,0,0,0,0,0,0,0,2,5,248,1,0,0,0,0,True,True,True
GBE,3,5,243,243,0,0,0,0,0,0,0,0,1,6,248,1,0,0,0,0,True,True,True
SEDA,5,5,0,0,0,0,1,1,0,0,0,0,5,0,250,1,0,0,0,0,True,True,True
SEDA,5,7,254,254,1,1,0,0,0,0,1,1,5,2,248,1,0,0,0,0,True,True,True
JU,9,4,1,1,0,0,0,0,1,1,0,0,0,13,242,1,0,0,0,0,True,True,True
JU,3,8,0,0,1,1,0,0,0,0,1,1,0,11,244,1,0,0,0,0,True,True,True
KERE,3,8,1,1,1,1,0,0,0,0,1,1,0,11,244,1,0,0,0,0,True,True,True
KERE,9,4,0,0,0,0,0,0,1,1,0,0,0,13,242,1,0,0,0,0,True,True,True
