edge_id,source_direct,source_phi,target_direct,target_phi,total_frequency,block_0_frequency,block_1_frequency,block_2_frequency,block_3_frequency,distinct_local_operand_labels
1,0,0,0,0,75008,32768,16384,13312,12544,8
2,0,0,0,1,18752,8192,4096,3328,3136,2
3,0,0,1,0,18752,8192,4096,3328,3136,2
4,0,0,1,1,37504,16384,8192,6656,6272,4
5,0,1,0,0,9216,0,3072,3072,3072,6
6,0,1,0,1,6144,0,2048,2048,2048,4
7,0,1,1,1,9216,0,3072,3072,3072,6
8,1,0,0,0,9216,0,3072,3072,3072,6
9,1,0,1,0,6144,0,2048,2048,2048,4
10,1,0,1,1,9216,0,3072,3072,3072,6
11,1,1,0,0,15744,0,4096,5632,6016,4
12,1,1,0,1,7872,0,2048,2816,3008,2
13,1,1,1,0,7872,0,2048,2816,3008,2
14,1,1,1,1,31488,0,8192,11264,12032,8
