source_id,branch_degree,target_index,direct_Cin,source_Y,source_Cout,source_RA,source_RD,source_R0,source_T,phi_Cin,target_Y,target_Cout,target_RA,target_RD,target_R0,target_T
1,2,1,0,00,0,00,00,11,00,0,10,0,01,00,10,10
1,2,2,0,00,0,00,00,11,00,1,11,0,01,00,10,11
2,2,1,0,00,1,01,10,00,10,0,11,0,00,11,00,00
2,2,2,0,00,1,01,10,00,10,1,00,1,00,11,00,11
3,2,1,0,00,1,10,00,01,00,0,00,1,10,00,01,00
3,2,2,0,00,1,10,00,01,00,1,01,1,10,00,01,01
4,2,1,0,01,0,00,01,10,00,0,01,0,00,01,10,00
4,2,2,0,01,0,00,01,10,00,1,10,0,00,01,10,11
5,2,1,0,01,1,10,01,00,00,0,01,1,10,01,00,00
5,2,2,0,01,1,10,01,00,00,1,10,1,10,01,00,11
6,2,1,0,10,0,00,10,01,00,0,11,0,00,11,00,00
6,2,2,0,10,0,00,10,01,00,1,00,1,00,11,00,11
7,2,1,0,10,0,01,00,10,10,0,00,0,00,00,11,00
7,2,2,0,10,0,01,00,10,10,1,01,0,00,00,11,01
8,2,1,0,10,1,11,00,00,10,0,10,1,11,00,00,10
8,2,2,0,10,1,11,00,00,10,1,11,1,11,00,00,11
9,4,1,0,11,0,00,11,00,00,0,00,1,01,10,00,10
9,4,2,0,11,0,00,11,00,00,0,10,0,00,10,01,00
9,4,3,0,11,0,00,11,00,00,1,01,1,01,10,00,11
9,4,4,0,11,0,00,11,00,00,1,11,0,00,10,01,01
10,4,1,1,00,1,00,11,00,11,0,00,1,01,10,00,10
10,4,2,1,00,1,00,11,00,11,0,10,0,00,10,01,00
10,4,3,1,00,1,00,11,00,11,1,01,1,01,10,00,11
10,4,4,1,00,1,00,11,00,11,1,11,0,00,10,01,01
11,2,1,1,01,0,00,00,11,01,0,10,0,01,00,10,10
11,2,2,1,01,0,00,00,11,01,1,11,0,01,00,10,11
12,2,1,1,01,1,01,10,00,11,0,11,0,00,11,00,00
12,2,2,1,01,1,01,10,00,11,1,00,1,00,11,00,11
13,2,1,1,01,1,10,00,01,01,0,00,1,10,00,01,00
13,2,2,1,01,1,10,00,01,01,1,01,1,10,00,01,01
14,2,1,1,10,0,00,01,10,11,0,01,0,00,01,10,00
14,2,2,1,10,0,00,01,10,11,1,10,0,00,01,10,11
15,2,1,1,10,1,10,01,00,11,0,01,1,10,01,00,00
15,2,2,1,10,1,10,01,00,11,1,10,1,10,01,00,11
16,2,1,1,11,0,00,10,01,01,0,11,0,00,11,00,00
16,2,2,1,11,0,00,10,01,01,1,00,1,00,11,00,11
17,2,1,1,11,0,01,00,10,11,0,00,0,00,00,11,00
17,2,2,1,11,0,01,00,10,11,1,01,0,00,00,11,01
18,2,1,1,11,1,11,00,00,11,0,10,1,11,00,00,10
18,2,2,1,11,1,11,00,00,11,1,11,1,11,00,00,11
