trace_id,C0,C1,C2,C3,C4,frequency
1,00,00,00,00,00,4096
2,00,00,00,00,11,2048
3,00,00,00,11,11,2048
4,00,00,11,11,11,2048
5,00,11,11,11,11,2048
6,00,00,00,00,01,1024
7,00,00,00,00,10,1024
8,00,00,00,11,00,1024
9,00,00,11,00,00,1024
10,00,00,11,11,00,1024
11,00,11,00,00,00,1024
12,00,11,11,00,00,1024
13,00,11,11,11,00,1024
14,00,00,00,01,00,768
15,00,00,00,01,11,768
16,00,00,00,10,00,768
17,00,00,00,10,11,768
18,00,00,01,00,00,768
19,00,00,01,11,11,768
20,00,00,10,00,00,768
21,00,00,10,11,11,768
22,00,01,00,00,00,768
23,00,01,11,11,11,768
24,00,10,00,00,00,768
25,00,10,11,11,11,768
26,00,00,00,01,01,512
27,00,00,00,10,10,512
28,00,00,00,11,01,512
29,00,00,00,11,10,512
30,00,00,11,00,11,512
31,00,00,11,11,01,512
32,00,00,11,11,10,512
33,00,11,00,00,11,512
34,00,11,00,11,11,512
35,00,11,11,00,11,512
36,00,11,11,11,01,512
37,00,11,11,11,10,512
38,00,00,01,00,11,384
39,00,00,01,01,00,384
40,00,00,01,01,11,384
41,00,00,01,11,00,384
42,00,00,10,00,11,384
43,00,00,10,10,00,384
44,00,00,10,10,11,384
45,00,00,10,11,00,384
46,00,00,11,01,00,384
47,00,00,11,01,11,384
48,00,00,11,10,00,384
49,00,00,11,10,11,384
50,00,01,00,00,11,384
51,00,01,00,11,11,384
52,00,01,01,00,00,384
53,00,01,01,11,11,384
54,00,01,11,00,00,384
55,00,01,11,11,00,384
56,00,10,00,00,11,384
57,00,10,00,11,11,384
58,00,10,10,00,00,384
59,00,10,10,11,11,384
60,00,10,11,00,00,384
61,00,10,11,11,00,384
62,00,11,01,00,00,384
63,00,11,01,11,11,384
64,00,11,10,00,00,384
65,00,11,10,11,11,384
66,00,11,11,01,00,384
67,00,11,11,01,11,384
68,00,11,11,10,00,384
69,00,11,11,10,11,384
70,00,00,01,01,01,256
71,00,00,10,10,10,256
72,00,00,11,00,01,256
73,00,00,11,00,10,256
74,00,00,11,01,01,256
75,00,00,11,10,10,256
76,00,11,00,00,01,256
77,00,11,00,00,10,256
78,00,11,00,11,00,256
79,00,11,11,00,01,256
80,00,11,11,00,10,256
81,00,11,11,01,01,256
82,00,11,11,10,10,256
83,00,00,01,00,01,192
84,00,00,01,00,10,192
85,00,00,01,11,01,192
86,00,00,01,11,10,192
87,00,00,10,00,01,192
88,00,00,10,00,10,192
89,00,00,10,11,01,192
90,00,00,10,11,10,192
91,00,01,00,00,01,192
92,00,01,00,00,10,192
93,00,01,00,11,00,192
94,00,01,01,00,11,192
95,00,01,01,01,00,192
96,00,01,01,01,11,192
97,00,01,01,11,00,192
98,00,01,11,00,11,192
99,00,01,11,11,01,192
100,00,01,11,11,10,192
101,00,10,00,00,01,192
102,00,10,00,00,10,192
103,00,10,00,11,00,192
104,00,10,10,00,11,192
105,00,10,10,10,00,192
106,00,10,10,10,11,192
107,00,10,10,11,00,192
108,00,10,11,00,11,192
109,00,10,11,11,01,192
110,00,10,11,11,10,192
111,00,11,00,01,00,192
112,00,11,00,01,11,192
113,00,11,00,10,00,192
114,00,11,00,10,11,192
115,00,11,01,00,11,192
116,00,11,01,01,00,192
117,00,11,01,01,11,192
118,00,11,01,11,00,192
119,00,11,10,00,11,192
120,00,11,10,10,00,192
121,00,11,10,10,11,192
122,00,11,10,11,00,192
123,00,01,00,01,00,144
124,00,01,00,01,11,144
125,00,01,00,10,00,144
126,00,01,00,10,11,144
127,00,01,11,01,00,144
128,00,01,11,01,11,144
129,00,01,11,10,00,144
130,00,01,11,10,11,144
131,00,10,00,01,00,144
132,00,10,00,01,11,144
133,00,10,00,10,00,144
134,00,10,00,10,11,144
135,00,10,11,01,00,144
136,00,10,11,01,11,144
137,00,10,11,10,00,144
138,00,10,11,10,11,144
139,00,01,01,01,01,128
140,00,10,10,10,10,128
141,00,11,00,01,01,128
142,00,11,00,10,10,128
143,00,11,00,11,01,128
144,00,11,00,11,10,128
145,00,11,01,01,01,128
146,00,11,10,10,10,128
147,00,01,00,01,01,96
148,00,01,00,10,10,96
149,00,01,00,11,01,96
150,00,01,00,11,10,96
151,00,01,01,00,01,96
152,00,01,01,00,10,96
153,00,01,01,11,01,96
154,00,01,01,11,10,96
155,00,01,11,00,01,96
156,00,01,11,00,10,96
157,00,01,11,01,01,96
158,00,01,11,10,10,96
159,00,10,00,01,01,96
160,00,10,00,10,10,96
161,00,10,00,11,01,96
162,00,10,00,11,10,96
163,00,10,10,00,01,96
164,00,10,10,00,10,96
165,00,10,10,11,01,96
166,00,10,10,11,10,96
167,00,10,11,00,01,96
168,00,10,11,00,10,96
169,00,10,11,01,01,96
170,00,10,11,10,10,96
171,00,11,01,00,01,96
172,00,11,01,00,10,96
173,00,11,01,11,01,96
174,00,11,01,11,10,96
175,00,11,10,00,01,96
176,00,11,10,00,10,96
177,00,11,10,11,01,96
178,00,11,10,11,10,96
