source_Y,source_Cout,source_RA,source_RD,source_R0,source_T,destination_Y,destination_Cout,destination_RA,destination_RD,destination_R0,destination_T,multiplicity
00,0,00,00,11,00,10,0,01,00,10,10,1
00,0,00,00,11,00,11,0,01,00,10,11,1
00,1,00,11,00,11,00,1,01,10,00,10,2
00,1,00,11,00,11,01,1,01,10,00,11,2
00,1,00,11,00,11,10,0,00,10,01,00,2
00,1,00,11,00,11,11,0,00,10,01,01,2
00,1,01,10,00,10,00,1,00,11,00,11,2
00,1,01,10,00,10,11,0,00,11,00,00,2
00,1,10,00,01,00,00,1,10,00,01,00,1
00,1,10,00,01,00,01,1,10,00,01,01,1
01,0,00,00,11,01,10,0,01,00,10,10,1
01,0,00,00,11,01,11,0,01,00,10,11,1
01,0,00,01,10,00,01,0,00,01,10,00,2
01,0,00,01,10,00,10,0,00,01,10,11,2
01,1,01,10,00,11,00,1,00,11,00,11,2
01,1,01,10,00,11,11,0,00,11,00,00,2
01,1,10,00,01,01,00,1,10,00,01,00,1
01,1,10,00,01,01,01,1,10,00,01,01,1
01,1,10,01,00,00,01,1,10,01,00,00,2
01,1,10,01,00,00,10,1,10,01,00,11,2
10,0,00,01,10,11,01,0,00,01,10,00,2
10,0,00,01,10,11,10,0,00,01,10,11,2
10,0,00,10,01,00,00,1,00,11,00,11,2
10,0,00,10,01,00,11,0,00,11,00,00,2
10,0,01,00,10,10,00,0,00,00,11,00,1
10,0,01,00,10,10,01,0,00,00,11,01,1
10,1,10,01,00,11,01,1,10,01,00,00,2
10,1,10,01,00,11,10,1,10,01,00,11,2
10,1,11,00,00,10,10,1,11,00,00,10,1
10,1,11,00,00,10,11,1,11,00,00,11,1
11,0,00,10,01,01,00,1,00,11,00,11,2
11,0,00,10,01,01,11,0,00,11,00,00,2
11,0,00,11,00,00,00,1,01,10,00,10,2
11,0,00,11,00,00,01,1,01,10,00,11,2
11,0,00,11,00,00,10,0,00,10,01,00,2
11,0,00,11,00,00,11,0,00,10,01,01,2
11,0,01,00,10,11,00,0,00,00,11,00,1
11,0,01,00,10,11,01,0,00,00,11,01,1
11,1,11,00,00,11,10,1,11,00,00,10,1
11,1,11,00,00,11,11,1,11,00,00,11,1
