closure_id,basis_coordinates,packed_bits,physically_observed,observed_id,Delta_Y,Delta_Cout,Delta_RA,Delta_RD,Delta_R0,Delta_T
G00,00000,00000000000,True,V00,00,0,00,00,00,00
G01,00001,00000010101,True,V01,00,0,00,01,01,01
G02,00010,00001010001,True,V02,00,0,01,01,00,01
G03,00011,00001000100,False,,00,0,01,00,01,00
G04,00100,01000000001,True,V03,01,0,00,00,00,01
G05,00101,01000010100,True,V04,01,0,00,01,01,00
G06,00110,01001010000,True,V05,01,0,01,01,00,00
G07,00111,01001000101,False,,01,0,01,00,01,01
G08,01000,10001000110,True,V06,10,0,01,00,01,10
G09,01001,10001010011,False,,10,0,01,01,00,11
G10,01010,10000010111,False,,10,0,00,01,01,11
G11,01011,10000000010,False,,10,0,00,00,00,10
G12,01100,11001000111,True,V10,11,0,01,00,01,11
G13,01101,11001010010,False,,11,0,01,01,00,10
G14,01110,11000010110,False,,11,0,00,01,01,10
G15,01111,11000000011,True,V09,11,0,00,00,00,11
G16,10000,10100010111,True,V07,10,1,00,01,01,11
G17,10001,10100000010,False,,10,1,00,00,00,10
G18,10010,10101000110,False,,10,1,01,00,01,10
G19,10011,10101010011,True,V08,10,1,01,01,00,11
G20,10100,11100010110,True,V11,11,1,00,01,01,10
G21,10101,11100000011,False,,11,1,00,00,00,11
G22,10110,11101000111,False,,11,1,01,00,01,11
G23,10111,11101010010,True,V12,11,1,01,01,00,10
G24,11000,00101010001,False,,00,1,01,01,00,01
G25,11001,00101000100,False,,00,1,01,00,01,00
G26,11010,00100000000,False,,00,1,00,00,00,00
G27,11011,00100010101,False,,00,1,00,01,01,01
G28,11100,01101010000,False,,01,1,01,01,00,00
G29,11101,01101000101,False,,01,1,01,00,01,01
G30,11110,01100000001,False,,01,1,00,00,00,01
G31,11111,01100010100,False,,01,1,00,01,01,00
