observed_id,closure_id,basis_coordinates,packed_bits,Delta_Y,Delta_Cout,Delta_RA,Delta_RD,Delta_R0,Delta_T
V00,G00,00000,00000000000,00,0,00,00,00,00
V01,G01,00001,00000010101,00,0,00,01,01,01
V02,G02,00010,00001010001,00,0,01,01,00,01
V03,G04,00100,01000000001,01,0,00,00,00,01
V04,G05,00101,01000010100,01,0,00,01,01,00
V05,G06,00110,01001010000,01,0,01,01,00,00
V06,G08,01000,10001000110,10,0,01,00,01,10
V07,G16,10000,10100010111,10,1,00,01,01,11
V08,G19,10011,10101010011,10,1,01,01,00,11
V09,G15,01111,11000000011,11,0,00,00,00,11
V10,G12,01100,11001000111,11,0,01,00,01,11
V11,G20,10100,11100010110,11,1,00,01,01,10
V12,G23,10111,11101010010,11,1,01,01,00,10
